gen,elapsed_sec,evals_total,engine,metrics
108,0.19782185554504395,21800,"{'gen': 109, 'best_fitness': -0.6472467691717108, 'mean_fitness': -1.9666358061514426, 'pop_size': 200}",{}
109,0.19966983795166016,22000,"{'gen': 110, 'best_fitness': -0.4231666536340011, 'mean_fitness': -1.897895058389326, 'pop_size': 200}",{}
110,0.20148777961730957,22200,"{'gen': 111, 'best_fitness': -0.6095656786350565, 'mean_fitness': -1.8260432385804746, 'pop_size': 200}",{}
111,0.20325279235839844,22400,"{'gen': 112, 'best_fitness': -0.6598828950951983, 'mean_fitness': -1.7788900337835014, 'pop_size': 200}",{}
112,0.20499587059020996,22600,"{'gen': 113, 'best_fitness': -0.6312344805268832, 'mean_fitness': -1.7556954957174082, 'pop_size': 200}",{}
113,0.2068169116973877,22800,"{'gen': 114, 'best_fitness': -0.7641965040663926, 'mean_fitness': -1.782082063904452, 'pop_size': 200}",{}
114,0.20863890647888184,23000,"{'gen': 115, 'best_fitness': -0.6193971665416427, 'mean_fitness': -1.7499413433997475, 'pop_size': 200}",{}
115,0.21045875549316406,23200,"{'gen': 116, 'best_fitness': -0.736981769125553, 'mean_fitness': -1.8440541657754221, 'pop_size': 200}",{}
116,0.21228384971618652,23400,"{'gen': 117, 'best_fitness': -0.4879230906212515, 'mean_fitness': -1.8369939780387738, 'pop_size': 200}",{}
117,0.2140958309173584,23600,"{'gen': 118, 'best_fitness': -0.6332684160277883, 'mean_fitness': -1.7126186280369922, 'pop_size': 200}",{}
118,0.21579790115356445,23800,"{'gen': 119, 'best_fitness': -0.7934334209891141, 'mean_fitness': -1.6859393694353881, 'pop_size': 200}",{}
119,0.21759891510009766,24000,"{'gen': 120, 'best_fitness': -0.5482266740298688, 'mean_fitness': -1.7164067941862342, 'pop_size': 200}",{}
120,0.21942496299743652,24200,"{'gen': 121, 'best_fitness': -0.6765115409017778, 'mean_fitness': -1.8078542307080647, 'pop_size': 200}",{}
121,0.22124791145324707,24400,"{'gen': 122, 'best_fitness': -0.5264949962436892, 'mean_fitness': -1.8805453766443343, 'pop_size': 200}",{}
122,0.22307085990905762,24600,"{'gen': 123, 'best_fitness': -0.47025443389744004, 'mean_fitness': -1.8196127353470424, 'pop_size': 200}",{}
123,0.22479486465454102,24800,"{'gen': 124, 'best_fitness': -0.45485373449719374, 'mean_fitness': -1.8460179722393435, 'pop_size': 200}",{}
124,0.22656679153442383,25000,"{'gen': 125, 'best_fitness': -0.5306395791485871, 'mean_fitness': -1.848259989478568, 'pop_size': 200}",{}
125,0.22838187217712402,25200,"{'gen': 126, 'best_fitness': -0.6914295851175822, 'mean_fitness': -1.8707380208680506, 'pop_size': 200}",{}
126,0.23020577430725098,25400,"{'gen': 127, 'best_fitness': -0.5949537011077982, 'mean_fitness': -1.861047607738409, 'pop_size': 200}",{}
127,0.23203468322753906,25600,"{'gen': 128, 'best_fitness': -0.7038129754044814, 'mean_fitness': -1.7523726914755906, 'pop_size': 200}",{}
128,0.23377776145935059,25800,"{'gen': 129, 'best_fitness': -0.6086482703548932, 'mean_fitness': -1.6746338648995687, 'pop_size': 200}",{}
129,0.2355937957763672,26000,"{'gen': 130, 'best_fitness': -0.5201699854782093, 'mean_fitness': -1.6679587486734755, 'pop_size': 200}",{}
130,0.2374107837677002,26200,"{'gen': 131, 'best_fitness': -0.44519079243930637, 'mean_fitness': -1.6409626186054629, 'pop_size': 200}",{}
131,0.23923683166503906,26400,"{'gen': 132, 'best_fitness': -0.5604068058213805, 'mean_fitness': -1.6217259177667955, 'pop_size': 200}",{}
132,0.24098873138427734,26600,"{'gen': 133, 'best_fitness': -0.6167402812423688, 'mean_fitness': -1.6600701765896497, 'pop_size': 200}",{}
